,ex_name,symbol,ave_price
131,bybit,LIT/USDT:USDT,1.2614999999999998
132,bybit,LOOKS/USDT:USDT,0.188225
133,bybit,LPT/USDT:USDT,7.592499999999999
134,bybit,LRC/USDT:USDT,0.36265000000000003
135,bybit,LTC/USDT:USDT,94.065
136,bybit,LUNA/USD:USDC,1.725
137,bybit,LUNA2/USDT:USDT,1.7255
138,bybit,MAGIC/USDT:USDT,1.6504500000000002
139,bybit,MANA/USDT:USDT,0.65465
140,bybit,MASK/USDT:USDT,3.6864999999999997
141,bybit,MATIC/USD:USDC,1.27745
142,bybit,MATIC/USDT:USDT,1.27745
143,bybit,MINA/USDT:USDT,0.94775
144,bybit,MKR/USDT:USDT,764.25
145,bybit,MTL/USDT:USDT,1.2947
146,bybit,NEAR/USD:USDC,2.3390000000000004
147,bybit,NEAR/USDT:USDT,2.3395
148,bybit,NEO/USDT:USDT,12.435500000000001
149,bybit,NKN/USDT:USDT,0.12160499999999999
150,bybit,OCEAN/USDT:USDT,0.40285
151,bybit,OGN/USDT:USDT,0.13435
152,bybit,OMG/USDT:USDT,1.6915
153,bybit,ONE/USDT:USDT,0.022045000000000002
154,bybit,ONT/USDT:USDT,0.251425
155,bybit,OP/USD:USDC,2.8815
156,bybit,OP/USDT:USDT,2.88105
157,bybit,PAXG/USDT:USDT,1793.5
158,bybit,PEOPLE/USDT:USDT,0.026325
159,bybit,QTUM/USDT:USDT,3.3675
160,bybit,REEF/USDT:USDT,0.0033225
161,bybit,REN/USDT:USDT,0.094015
162,bybit,REQ/USDT:USDT,0.11052999999999999
163,bybit,RNDR/USDT:USDT,1.4333749999999998
164,bybit,ROSE/USDT:USDT,0.067905
165,bybit,RSR/USDT:USDT,0.005039500000000001
166,bybit,RSS3/USDT:USDT,0.16585
167,bybit,RUNE/USDT:USDT,1.6245
168,bybit,RVN/USDT:USDT,0.031775
169,bybit,SAND/USD:USDC,0.7117
170,bybit,SAND/USDT:USDT,0.71175
171,bybit,SCRT/USDT:USDT,0.8308
172,bybit,SC/USDT:USDT,0.0042474999999999995
173,bybit,SFP/USDT:USDT,0.52935
174,bybit,SHIB1000/USDT:USDT,0.0125255
175,bybit,SKL/USDT:USDT,0.048600000000000004
176,bybit,SLP/USDT:USDT,0.0033049999999999998
177,bybit,SNX/USDT:USDT,2.5335
178,bybit,SOL/USD:USDC,22.8475
179,bybit,SOL/USDT:USDT,22.8565
180,bybit,SPELL/USDT:USDT,0.0008435000000000001
181,bybit,STG/USDT:USDT,1.0086499999999998
182,bybit,STMX/USDT:USDT,0.0070574999999999995
183,bybit,STORJ/USDT:USDT,0.43975
184,bybit,STX/USDT:USDT,0.747525
185,bybit,SUN/USDT:USDT,0.0071875
186,bybit,SUSHI/USDT:USDT,1.3255
187,bybit,SWEAT/USD:USDC,0.011165000000000001
188,bybit,SWEAT/USDT:USDT,0.011165
189,bybit,SXP/USDT:USDT,0.32325000000000004
190,bybit,THETA/USDT:USDT,1.19415
191,bybit,TLM/USDT:USDT,0.023704999999999997
192,bybit,TOMO/USDT:USDT,0.44075
193,bybit,TRB/USDT:USDT,18.302500000000002
194,bybit,TRX/USDT:USDT,0.069285
195,bybit,TWT/USDT:USDT,1.39175
196,bybit,UNFI/USDT:USDT,6.159750000000001
197,bybit,UNI/USDT:USDT,6.5495
198,bybit,USDC/USDT:USDT,1.00015
199,bybit,VET/USDT:USDT,0.027625
200,bybit,WAVES/USDT:USDT,2.5717499999999998
201,bybit,WOO/USDT:USDT,0.21925
202,bybit,XCN/USDT:USDT,0.009655
203,bybit,XEM/USDT:USDT,0.04125
204,bybit,XLM/USDT:USDT,0.08812500000000001
205,bybit,XMR/USDT:USDT,149.675
206,bybit,XNO/USDT:USDT,0.91095
207,bybit,XRP/USD:USDC,0.37734999999999996
208,bybit,XRP/USDT:USDT,0.37735
209,bybit,XTZ/USDT:USDT,1.2055
210,bybit,YFI/USDT:USDT,9697.5
211,bybit,YGG/USDT:USDT,0.31515
212,bybit,ZEC/USDT:USDT,44.525
213,bybit,ZEN/USDT:USDT,12.496500000000001
214,bybit,ZIL/USDT:USDT,0.032515
215,bybit,ZRX/USDT:USDT,0.26435
