Symbol,Num,Max,Mean,Std
1INCH/ILV,0,1,1,0
1INCH/IMX,0,1,1,0
1INCH/INJ,0,1,1,0
1INCH/IOST,6,1.0333333333333334,1.0096394409680092,0.006342891890267024
1INCH/IOTA,3,1.0436634717784876,1.003617084395678,0.002970729295939422
1INCH/IOTX,0,1,1,0
1INCH/IRIS,0,1,1,0
1INCH/JASMY,0,1,1,0
1INCH/JOE,0,1,1,0
1INCH/JST,0,1,1,0
1INCH/KAVA,0,1,1,0
1INCH/KDA,0,1,1,0
1INCH/KLAY,23,1.3824786324786325,1.0020984700254454,0.01019850773383372
1INCH/KMD,0,1,1,0
1INCH/KNC,1,1.0335849056603774,1.001552871368754,0.0014292682446239875
1INCH/KSM,0,1.026896551724138,1.0023706910342038,0.0018745840880567126
1INCH/LAZIO,0,1,1,0
1INCH/LDO,0,1,1,0
1INCH/LINA,0,1,1,0
1INCH/LINK,0,1.0116039215747976,1.0029018512482384,0.0011715164795752962
1INCH/LIT,0,1,1,0
1INCH/LOKA,0,1,1,0
1INCH/LOOM,0,1,1,0
1INCH/LPT,0,1,1,0
1INCH/LRC,0,1.0119718309859156,1.000858821274536,0.0008344672724653899
1INCH/LSK,2,1.041708542713568,1.0023584837925035,0.0020434235870903086
1INCH/LTC,0,1.013830571681093,1.002391973483968,0.000969194816410606
1INCH/LTO,0,1,1,0
1INCH/LUNA,1,1.0470850503276363,1.0023803516857333,0.0011515691826346507
1INCH/LUNC,0,1,1,0
1INCH/MAGIC,0,1,1,0
1INCH/MANA,0,1.0096346848655158,1.0005671858540337,0.0005379723819450166
1INCH/MATIC,0,1.017926567109566,1.0025220660188257,0.0012293638000052298
1INCH/MBOX,0,1,1,0
1INCH/MC,0,1,1,0
1INCH/MDT,0,1,1,0
1INCH/MDX,0,1,1,0
1INCH/MINA,0,1,1,0
1INCH/MITH,0,1,1,0
1INCH/MKR,1,1.082580913085414,1.003251216544655,0.0021354291634771965
1INCH/MLN,0,1,1,0
1INCH/MOB,0,1,1,0
1INCH/MOVR,0,1,1,0
1INCH/MTL,0,1,1,0
1INCH/MULTI,0,1,1,0
1INCH/NAS,0,1,1,0
1INCH/NEAR,0,1.016154985563397,1.003241250929894,0.0014083872517754485
1INCH/NEBL,0,1,1,0
1INCH/NEO,0,1.014705882352941,1.0012007684637396,0.0014019164445186532
1INCH/NEXO,0,1,1,0
1INCH/NKN,0,1,1,0
1INCH/NMR,0,1,1,0
1INCH/NULS,1,1.0309734513274336,1.0029986120959178,0.002423679564420898
1INCH/OAX,0,1,1,0
1INCH/OCEAN,0,1,1,0
1INCH/OG,0,1,1,0
1INCH/OGN,0,1,1,0
1INCH/OKB,0,1,1,0
1INCH/OKT,0,1,1,0
1INCH/OM,0,1,1,0
